CustomerID|CustomerName|Address1|Address2|City|State|PostalCode
"80th Street Residence|Lisa Witt|80th Street Residence|430 E 80th St"|80th Street Residence|430 E 80th St|||NY|10075
"A1A Management|Shaina Pineiro|LifePoint Village at Southaven|2782 Star Landing Road East"|LifePoint Village at Southaven|2782 Star Landing Road East|||MS|38672
"A1A Management|Shaina Pineiro|Princeton Village of Palm Coast|100 Magnolia Trace Way"|Princeton Village of Palm Coast|100 Magnolia Trace Way|||FL|32164
"A1A Management|Shaina Pineiro|Princeton Village of Largo|333 16th Avenue Southeast"|Princeton Village of Largo|333 16th Avenue Southeast|||FL|33770
"A1A Management|Shaina Pineiro|A1A Management|10752 Deerwood Park Boulevard, Suite 126"|A1A Management|10752 Deerwood Park Boulevard, Suite 126|||FL|32256
"Absolut Facilities Management|Ted Ruff|Laurel Bay Health & Rehab|32B Laurel Ave"|Laurel Bay Health & Rehab|32B Laurel Ave|||NJ|07734
"Absolut Facilities Management|Ted Ruff|Absolut  of Aurora Park|292 Main St"|Absolut  of Aurora Park|292 Main St|||NY|14052
"Absolut Facilities Management|Ted Ruff|Fiddlers Green  Manor Nursing Home|168 W Main St"|Fiddlers Green  Manor Nursing Home|168 W Main St|||NY|14141
"Absolut Facilities Management|Ted Ruff|Absolut of Orchard Park|6060 Armor Duells Rd"|Absolut of Orchard Park|6060 Armor Duells Rd|||NY|14127
"Absolut Facilities Management|Ted Ruff|Absolut of Dunkirk|447-449 Lakeshore Dr"|Absolut of Dunkirk|447-449 Lakeshore Dr|||NY|14048
"Absolut Facilities Management|Ted Ruff|Absolut of Allegany|5th and Maple Streets"|Absolut of Allegany|5th and Maple Streets|||NY|14706
"Absolut Facilities Management|Ted Ruff|Absolut of Gasport|4540 Lincoln Dr"|Absolut of Gasport|4540 Lincoln Dr|||NY|14067
"Absolut Facilities Management|Ted Ruff|Absolut of Westfield|26 Cass St
Po Box 9"|Absolut of Westfield|"26 Cass St
Po Box 9"|||NY|14787
"Absolut Facilities Management|Ted Ruff|Putnam Ridge Nursing Home|46 Mount Ebo Rd N"|Putnam Ridge Nursing Home|46 Mount Ebo Rd N|||NY|10509
"Absolut Facilities Management|Ted Ruff|Absolut Facilities Management|300 Gleed Ave"|Absolut Facilities Management|300 Gleed Ave|||NY|14052
"Absolut Facilities Management|Ted Ruff|Absolut of Three Rivers|101 Creekside Dr"|Absolut of Three Rivers|101 Creekside Dr|||NY|14870
"Absolut Facilities Management|Ted Ruff|Absolut of Eden|2806 George St"|Absolut of Eden|2806 George St|||NY|14057
"Absolut Facilities Management|Ted Ruff|Absolut of Houghton|876 Luckey Dr"|Absolut of Houghton|876 Luckey Dr|||NY|14744
"Absolut Facilities Management|Ted Ruff|Absolut of Salamanca|451 Broad St"|Absolut of Salamanca|451 Broad St|||NY|14779
"Absolut Facilities Management|Ted Ruff|Niagara Rehab and  Nursing Center|822 Cedar Ave"|Niagara Rehab and  Nursing Center|822 Cedar Ave|||NY|14301
"Absolut Facilities Management|Ted Ruff|Sweet Brook of Williamstown|1561 Cold Springs Rd"|Sweet Brook of Williamstown|1561 Cold Springs Rd|||MA|01267
"Absolut Facilities Management|Ted Ruff|Humboldt House|64 Hager Street"|Humboldt House|64 Hager Street|||NY|14208
"ABVI - Goodwill - South Clinton|Ted Ruff|Association for the Blind and Visually Impaired|1692 Lyell Avenue"|Association for the Blind and Visually Impaired|1692 Lyell Avenue|||NY|14606
"ABVI - Goodwill - South Clinton|Ted Ruff|ABVI - Goodwill - South Clinton|422 S. Clinton Ave."|ABVI - Goodwill - South Clinton|422 S. Clinton Ave.|||NY|14620
"ABVI - Goodwill - South Clinton|Ted Ruff|ABVI - Goodwill - Syracuse|4722 Onondoga Blvd"|ABVI - Goodwill - Syracuse|4722 Onondoga Blvd|||NY|13219
"ABVI - Goodwill - South Clinton|Ted Ruff|ABVI - Goodwill - Dewey Avenue|3360 Dewey Ave"|ABVI - Goodwill - Dewey Avenue|3360 Dewey Ave|||NY|14616
"ABVI - Goodwill - South Clinton|Ted Ruff|ABVI - Goodwill - Paul Road|465 Paul Rd"|ABVI - Goodwill - Paul Road|465 Paul Rd|||NY|14624
"ABVI - Goodwill - South Clinton|Ted Ruff|Goodwill of the Fingerlakes - South Clinton Ave|422 S Clinton Ave"|Goodwill of the Fingerlakes - South Clinton Ave|422 S Clinton Ave|||NY|14620
"ABVI - Goodwill - South Clinton|Ted Ruff|Goodwill of the Finger Lakes Inc - Champeney Terrace|4 Champeney Terr"|Goodwill of the Finger Lakes Inc - Champeney Terrace|4 Champeney Terr|||NY|14605
"Acacia Certified Home Care|Lisa Witt|Acacia Certified Home Care|2150 Bleecker St"|Acacia Certified Home Care|2150 Bleecker St|||NY|13501
"Acacia Licensed Home Care|Lisa Witt|Acacia Licensed Home Care|2150 Bleecker St"|Acacia Licensed Home Care|2150 Bleecker St|||NY|13501
"Adirondack Manor Homes for Adults|Lisa Witt|Adirondack Manor Homes for Adults|4 Chelsea Place"|Adirondack Manor Homes for Adults|4 Chelsea Place|||NY|12065
"Adirondack Manor Homes for Adults|Lisa Witt|Adirondack Manor HFA|653 Bay Rd"|Adirondack Manor HFA|653 Bay Rd|||NY|12804
"Adirondack Manor Homes for Adults|Lisa Witt|Scotia Mansion HFA|39 Wallace St"|Scotia Mansion HFA|39 Wallace St|||NY|12320
"Adirondack Manor Homes for Adults|Lisa Witt|Valehaven HFA - Peru|2989 N Main St -Bx 683"|Valehaven HFA - Peru|2989 N Main St -Bx 683|||NY|12972
"Adirondack Manor Homes for Adults|Lisa Witt|Valehaven HFA - Camden|128 Main St"|Valehaven HFA - Camden|128 Main St|||NY|13316
"Adirondack Manor Homes for Adults|Lisa Witt|Valehaven HFA - Oswego|24 E Oneida St"|Valehaven HFA - Oswego|24 E Oneida St|||NY|13126
"Adirondack Manor Homes for Adults|Lisa Witt|Montcalm Manor HFA - Essex|45 Mount Calm St"|Montcalm Manor HFA - Essex|45 Mount Calm St|||NY|12883
"Agape Physical Therapy Services|Ted Ruff|Agape Physical Therapy Services|92 West Ave"|Agape Physical Therapy Services|92 West Ave|||NY|14420
"Aid to Hospitals Inc|Ted Ruff|Aid to Hospitals Inc|45 McKee Rd"|Aid to Hospitals Inc|45 McKee Rd|||NY|14611
"Alpha Healthcare Services|Shaina Pineiro|Alpha Concord Plantation|2809 Old Concord Rd"|Alpha Concord Plantation|2809 Old Concord Rd|||NC|28146
"Alpha Healthcare Services|Shaina Pineiro|Alpha Healthcare Services|3612 Carolyn Dr."|Alpha Healthcare Services|3612 Carolyn Dr.|||NC|27604
"Alpha Healthcare Services|Shaina Pineiro|Alpha Healthcare Services|4517 Waterbury Rd."|Alpha Healthcare Services|4517 Waterbury Rd.|||NC|27604
"Alpha Healthcare Services|Shaina Pineiro|Alpha Healthcare Services|613 Ellynn Dr."|Alpha Healthcare Services|613 Ellynn Dr.|||NC|27511
"Alpha Healthcare Services|Shaina Pineiro|Alpha Healthcare Services|105 Oakwood Dr."|Alpha Healthcare Services|105 Oakwood Dr.|||NC|27587
"Alpha Healthcare Services|Shaina Pineiro|Alpha Healthcare Services|2105 Gresham Lake Dr."|Alpha Healthcare Services|2105 Gresham Lake Dr.|||NC|27615
"Alpha Healthcare Services|Shaina Pineiro|Alpha Healthcare Services|8600 Neuse Hunter Dr."|Alpha Healthcare Services|8600 Neuse Hunter Dr.|||NC|27616
"Alpha Healthcare Services|Shaina Pineiro|Alpha Healthcare Services|1041 Huntsboro Dr."|Alpha Healthcare Services|1041 Huntsboro Dr.|||NC|27545
"Alpha Healthcare Services|Shaina Pineiro|Alpha Healthcare Services|1037 Whetstone Ct."|Alpha Healthcare Services|1037 Whetstone Ct.|||NC|27615
"Alpha Healthcare Services|Shaina Pineiro|Alpha Healthcare Services|712 Rockville Rd."|Alpha Healthcare Services|712 Rockville Rd.|||NC|27587
"Alpha Healthcare Services|Shaina Pineiro|Alpha Healthcare Services|202 Lindell Dr."|Alpha Healthcare Services|202 Lindell Dr.|||NC|27539
"Alpha Healthcare Services|Shaina Pineiro|Alpha Healthcare Services|5842 Faringdon Place"|Alpha Healthcare Services|5842 Faringdon Place|||NC|27609
"Alpine Manor Home|Ted Ruff|Alpine Manor Home|2714 Poplar Hill Road"|Alpine Manor Home|2714 Poplar Hill Road|||NY|14485
"AMC - Uihlein|Lisa Witt|AMC - Uihlein|185 OLld Military Rd"|AMC - Uihlein|185 OLld Military Rd|||NY|12946
"American Red Cross - Greater Rochester Chapter|Ted Ruff|American Red Cross Blood Svcs - Buffalo|786 Delaware Ave"|American Red Cross Blood Svcs - Buffalo|786 Delaware Ave|||NY|14209
"American Red Cross - Greater Rochester Chapter|Ted Ruff|American Red Cross Blood Svcs - NY PA|825 John St"|American Red Cross Blood Svcs - NY PA|825 John St|||NY|14586
"American Red Cross - Greater Rochester Chapter|Ted Ruff|American Red Cross - Greater Rochester Chapter|50 Prince St"|American Red Cross - Greater Rochester Chapter|50 Prince St|||NY|14607
"Apollo Health Care|Ted Ruff|Niagara Renal Center - Military Rd|3108 Military Rd"|Niagara Renal Center - Military Rd|3108 Military Rd|||NY|14304
"Apollo Health Care|Ted Ruff|Suffolk Kidney Center|30 Central Ave"|Suffolk Kidney Center|30 Central Ave|||NY|11788
"Apollo Health Care|Ted Ruff|Renal Care of Northern NY|19328 Washington St - Ste A"|Renal Care of Northern NY|19328 Washington St - Ste A|||NY|13601
"Apollo Health Care|Ted Ruff|Niagara Renal Center - 10Th St|621 10th St"|Niagara Renal Center - 10Th St|621 10th St|||NY|14302
"Apollo Health Care|Ted Ruff|Mount Sinai Hospital Dialysis Center|309 E 94th St"|Mount Sinai Hospital Dialysis Center|309 E 94th St|||NY|10128
